#SUBSTART
     -1.938     9.013     -35.363     36.545     -1.000
     -1.348     6.356     -29.392     30.102     1.000
     -2.034     16.444     -77.105     78.867     0.000
     -8.962     56.615     -264.694     270.830     0.000
     3.884     1.455     9.074     9.990     0.000
     0.382     0.110     -0.197     0.465     1.000
     -0.277     0.232     0.568     0.687     1.000
     0.014     0.327     -0.203     0.409     -1.000
     -2.314     0.785     -3.825     4.541     -1.000
     0.116     -0.184     5.888     5.893     -1.000
     -0.041     -0.069     11.517     11.518     1.000
     -0.269     0.496     0.526     1.216     0.000
     0.169     0.130     -0.082     0.268     1.000
     -0.165     -0.440     -0.310     0.752     0.000
     -0.147     -0.060     0.030     0.519     -1.000
     0.222     0.310     -0.024     0.407     1.000
     -0.184     -0.026     -0.674     0.713     1.000
     0.424     -0.312     -1.473     1.640     -1.000
     0.961     -1.052     -9.909     10.012     1.000
     1.465     -0.568     -17.181     17.253     -1.000
     -0.090     -0.421     -1.758     2.039     0.000
     0.107     0.278     -0.269     0.425     -1.000
     0.287     -0.120     13.023     13.061     0.000
     -0.009     -0.181     1.293     1.313     1.000
     0.173     0.190     40.484     40.485     1.000
     -0.678     -0.363     72.096     72.101     1.000
     -1.057     -0.323     45.237     45.251     -1.000
     -1.930     -0.513     37.676     37.741     0.000
     -0.767     -0.452     15.501     15.527     -1.000
     0.104     -0.301     4.619     4.632     1.000
     -0.604     -0.008     1.193     1.344     -1.000
     -0.919     0.013     0.914     1.304     1.000
     0.075     0.062     -0.166     0.238     1.000
     0.738     1.008     0.230     1.277     -1.000
     0.185     -0.292     0.457     0.756     1.000
     0.362     0.174     0.152     0.452     -1.000
     0.563     -0.070     0.634     0.984     1.000
     -1.674     0.582     -303.950     303.955     -1.000
     -0.509     0.534     -52.726     52.731     1.000
     -0.240     -0.226     -37.632     37.633     -1.000
     -0.012     0.016     -0.474     0.495     1.000
     -0.169     -0.074     -10.874     10.876     -1.000
     -0.999     0.323     -2.210     2.451     1.000
     0.044     0.023     -0.864     0.877     -1.000
     -0.117     0.031     0.539     1.090     0.000
     -0.332     -0.032     0.289     0.462     -1.000
     0.302     0.450     6.693     6.717     -1.000
     0.048     0.164     4.351     4.356     1.000
     0.153     0.468     3.844     3.878     1.000
     0.069     0.159     0.613     0.652     1.000
     -0.597     -0.708     -0.560     1.092     1.000
     0.007     0.106     0.006     0.176     -1.000
     -0.287     -0.635     -1.511     1.735     -1.000
     0.029     -0.323     -1.824     1.858     1.000
     -0.034     0.234     -6.801     6.806     1.000
     -0.702     -0.420     -31.229     31.240     -1.000
     -0.239     -0.094     0.503     0.750     -1.000
     0.210     -0.205     -0.342     0.472     1.000
     0.119     -0.047     -1.514     1.526     -1.000
     1.366     1.267     80.233     80.256     0.000
     0.031     1.068     24.711     24.735     -1.000
     -0.123     0.149     1.681     1.698     1.000
     -0.369     -0.073     5.412     5.427     1.000
